Model,Scenario,Region,Variable,Unit,2015,2020,2030,2040,2050,2060,2070,2080,2090,2100
AIM/CGE,SSP3-70 (Baseline),World,CMIP6 Emissions|BC,Mt BC/yr,9.726823822,10.2278933,10.68755416,11.00638786,10.94571187,10.58161735,10.20387536,9.761072065,9.449638145,9.105232927
AIM/CGE,SSP3-LowNTCF,World,CMIP6 Emissions|BC,Mt BC/yr,9.726823822,9.654148919,8.585722888,7.397099605,5.875750121,5.492153237,5.092664975,4.682260467,4.333612946,3.967145361
GCAM4,SSP4-34,World,CMIP6 Emissions|BC,Mt BC/yr,9.727424444,10.00109949,9.47070873,8.718195728,7.510544829,6.648161667,6.191157456,5.627112094,4.622314822,3.747177731
GCAM4,SSP4-60,World,CMIP6 Emissions|BC,Mt BC/yr,9.727424444,10.00109949,10.15422369,9.943333403,9.28855753,8.224707075,7.191218089,6.07109401,5.07151953,4.330140159
IMAGE,SSP1-19,World,CMIP6 Emissions|BC,Mt BC/yr,9.727424444,7.824348936,4.43422818,3.54565963,2.797527908,2.518834355,2.370296662,2.24371558,2.177402983,2.074581118
IMAGE,SSP1-26,World,CMIP6 Emissions|BC,Mt BC/yr,9.727424444,7.781339327,5.027846919,4.180495877,3.613018263,3.373340137,3.146868424,2.752478971,2.472312816,2.227027062
MESSAGE-GLOBIOM,SSP2-45,World,CMIP6 Emissions|BC,Mt BC/yr,9.726823822,8.821519134,8.022439822,7.273981058,6.332579691,5.536410377,4.671360021,3.790080811,3.023978488,2.650956545
REMIND-MAGPIE,SSP5-34-OS,World,CMIP6 Emissions|BC,Mt BC/yr,9.727424444,9.416511454,8.436607634,8.062465709,5.565172027,4.642398005,3.692877163,2.881331498,2.408834094,2.177869294
REMIND-MAGPIE,SSP5-85 (Baseline),World,CMIP6 Emissions|BC,Mt BC/yr,9.727424444,9.416511454,8.436607634,8.062465709,6.900874183,6.569715049,6.088544288,5.424059033,4.404721384,3.313751945
AIM/CGE,SSP3-70 (Baseline),World,CMIP6 Emissions|C2F6,kt C2F6/yr,1.57,2.018327253,1.357426132,0.93443742,0.663749833,0.490488187,0.379598335,0.308650419,0.182497469,0.182497469
AIM/CGE,SSP3-LowNTCF,World,CMIP6 Emissions|C2F6,kt C2F6/yr,1.57,2.018327253,1.357426132,0.93443742,0.663749833,0.490488187,0.379598335,0.308650419,0.182497469,0.182497469
GCAM4,SSP4-34,World,CMIP6 Emissions|C2F6,kt C2F6/yr,1.57,1.463565216,1.287581032,1.262439744,1.225752543,1.157767354,1.101797558,1.04979128,1.055347711,1.094199832
GCAM4,SSP4-60,World,CMIP6 Emissions|C2F6,kt C2F6/yr,1.57,1.463565216,1.636095618,1.693164932,1.701078533,1.646284246,1.547109231,1.394738051,1.298047434,1.209442914
